epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
68,4911.74,1.37539,0.76829,1.11776,0.86673,0.82339,0.84985,0.4644,1.65002,0.85371,1.22634,0.0086734,0.0086734,0.0086734
69,4983.67,1.37439,0.76568,1.11869,0.8589,0.82429,0.85478,0.4743,1.61412,0.83027,1.2221,0.0086536,0.0086536,0.0086536
70,5054.8,1.35884,0.76772,1.11013,0.85463,0.82616,0.84482,0.46239,1.63509,0.83311,1.22572,0.0086338,0.0086338,0.0086338
71,5126.55,1.37533,0.76449,1.11381,0.87254,0.8053,0.8546,0.46729,1.59359,0.82599,1.20919,0.008614,0.008614,0.008614
72,5196.44,1.3763,0.76176,1.11417,0.8099,0.8137,0.8039,0.45571,1.6087,0.88308,1.21754,0.0085942,0.0085942,0.0085942
73,5268.18,1.37373,0.77113,1.1141,0.86418,0.81164,0.8429,0.46508,1.62459,0.84768,1.23158,0.0085744,0.0085744,0.0085744
74,5339.21,1.37732,0.76417,1.12365,0.77289,0.81806,0.78459,0.42323,1.6256,0.93771,1.23098,0.0085546,0.0085546,0.0085546
75,5410.86,1.36166,0.74395,1.1161,0.88179,0.81215,0.86132,0.47181,1.63687,0.80689,1.22564,0.0085348,0.0085348,0.0085348
76,5482.68,1.3669,0.74943,1.10722,0.83247,0.80364,0.82714,0.46026,1.59487,0.85363,1.21206,0.008515,0.008515,0.008515
77,5554.72,1.34801,0.75244,1.10024,0.82642,0.83214,0.83006,0.45499,1.63082,0.84206,1.22451,0.0084952,0.0084952,0.0084952
78,5625.66,1.35915,0.74891,1.10673,0.85231,0.81489,0.84719,0.4604,1.61613,0.83373,1.21658,0.0084754,0.0084754,0.0084754
79,5696.94,1.35253,0.74047,1.11566,0.80901,0.80356,0.78875,0.43845,1.63264,0.9037,1.235,0.0084556,0.0084556,0.0084556
80,5768.58,1.36487,0.75158,1.10983,0.83675,0.81019,0.82093,0.45471,1.61991,0.8551,1.22652,0.0084358,0.0084358,0.0084358
